"filename", "language", "Markdown", "Shell Script", "C++", "CMake", "MS SQL", "JSON", "YAML", "comment", "blank", "total"
"/home/kun/projects/SharePix/.claude/settings.local.json", "JSON", 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"/home/kun/projects/SharePix/CLAUDE.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/home/kun/projects/SharePix/backend-service/PATH_FIX_SUMMARY.md", "Markdown", 245, 0, 0, 0, 0, 0, 0, 0, 84, 329
"/home/kun/projects/SharePix/backend-service/analyze_upload_logs.sh", "Shell Script", 0, 138, 0, 0, 0, 0, 0, 26, 38, 202
"/home/kun/projects/SharePix/backend-service/config/config.cloud.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/kun/projects/SharePix/backend-service/config/config.example.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/kun/projects/SharePix/backend-service/config/database.sql", "MS SQL", 0, 0, 0, 0, -2, 0, 0, 0, 0, -2
"/home/kun/projects/SharePix/backend-service/config/migration_fix_images_schema.sql", "MS SQL", 0, 0, 0, 0, 159, 0, 0, 18, 25, 202
"/home/kun/projects/SharePix/backend-service/config/migration_follows.sql", "MS SQL", 0, 0, 0, 0, 20, 0, 0, 37, 17, 74
"/home/kun/projects/SharePix/backend-service/deploy-static/build/knot-deploy-20251017-165249/docs/api/README.md", "Markdown", 155, 0, 0, 0, 0, 0, 0, 0, 67, 222
"/home/kun/projects/SharePix/backend-service/docs/api/openapi.yaml", "YAML", 0, 0, 0, 0, 0, 0, 524, 4, 27, 555
"/home/kun/projects/SharePix/backend-service/project_document/API_DOC_UPDATE.md", "Markdown", 197, 0, 0, 0, 0, 0, 0, 0, 75, 272
"/home/kun/projects/SharePix/backend-service/project_document/[000]API文档.md", "Markdown", 749, 0, 0, 0, 0, 0, 0, 0, 158, 907
"/home/kun/projects/SharePix/backend-service/project_document/[106]用户信息管理功能完善-实施计划.md", "Markdown", 779, 0, 0, 0, 0, 0, 0, 0, 184, 963
"/home/kun/projects/SharePix/backend-service/project_document/[107]用户信息更新接口BUG修复报告.md", "Markdown", 383, 0, 0, 0, 0, 0, 0, 0, 112, 495
"/home/kun/projects/SharePix/backend-service/project_document/[108]Feed流性能优化报告.md", "Markdown", 400, 0, 0, 0, 0, 0, 0, 0, 124, 524
"/home/kun/projects/SharePix/backend-service/project_document/[109]阶段D-3-分享系统实现计划.md", "Markdown", -3371, 0, 0, 0, 0, 0, 0, -8, -829, -4208
"/home/kun/projects/SharePix/backend-service/project_document/[110]v2.4.0-图片URL自动前缀功能.md", "Markdown", 253, 0, 0, 0, 0, 0, 0, 0, 83, 336
"/home/kun/projects/SharePix/backend-service/project_document/[111]Deep Link配置使用教程-鸿蒙开发指南.md", "Markdown", 1700, 0, 0, 0, 0, 0, 0, 2, 374, 2076
"/home/kun/projects/SharePix/backend-service/project_document/[112]Base64图片上传问题分析与解决方案.md", "Markdown", 426, 0, 0, 0, 0, 0, 0, 0, 153, 579
"/home/kun/projects/SharePix/backend-service/project_document/[112]JWT测试.md", "Markdown", 644, 0, 0, 0, 0, 0, 0, 0, 158, 802
"/home/kun/projects/SharePix/backend-service/project_document/[112]第一次综合测试.md", "Markdown", -644, 0, 0, 0, 0, 0, 0, 0, -158, -802
"/home/kun/projects/SharePix/backend-service/project_document/[113]全流程测试报告-帖子管理重点.md", "Markdown", 284, 0, 0, 0, 0, 0, 0, 0, 73, 357
"/home/kun/projects/SharePix/backend-service/project_document/[113]日志监控指南-图片上传排查手册.md", "Markdown", 479, 0, 0, 0, 0, 0, 0, 0, 163, 642
"/home/kun/projects/SharePix/backend-service/project_document/[114]多图片功能修复和实现报告.md", "Markdown", 242, 0, 0, 0, 0, 0, 0, 0, 72, 314
"/home/kun/projects/SharePix/backend-service/project_document/[115]创建帖子接口支持JSON+Base64格式-实施计划.md", "Markdown", 686, 0, 0, 0, 0, 0, 0, 0, 202, 888
"/home/kun/projects/SharePix/backend-service/project_document/[116]JSON+Base64内存崩溃紧急修复报告.md", "Markdown", 265, 0, 0, 0, 0, 0, 0, 0, 97, 362
"/home/kun/projects/SharePix/backend-service/project_document/[121]关注功能完整测试报告.md", "Markdown", 57, 0, 0, 0, 0, 0, 0, 0, 16, 73
"/home/kun/projects/SharePix/backend-service/project_document/[122]关注功能测试问题汇总.md", "Markdown", 519, 0, 0, 0, 0, 0, 0, 0, 178, 697
"/home/kun/projects/SharePix/backend-service/project_document/创建帖子请求流程文档.md", "Markdown", 330, 0, 0, 0, 0, 0, 0, 0, 102, 432
"/home/kun/projects/SharePix/backend-service/src/api/auth_handler.cpp", "C++", 0, 0, 14, 0, 0, 0, 0, 6, 4, 24
"/home/kun/projects/SharePix/backend-service/src/api/auth_handler.h", "C++", 0, 0, 1, 0, 0, 0, 0, 5, 1, 7
"/home/kun/projects/SharePix/backend-service/src/api/favorite_handler.cpp", "C++", 0, 0, 48, 0, 0, 0, 0, 15, 19, 82
"/home/kun/projects/SharePix/backend-service/src/api/favorite_handler.h", "C++", 0, 0, 2, 0, 0, 0, 0, 10, 2, 14
"/home/kun/projects/SharePix/backend-service/src/api/follow_handler.cpp", "C++", 0, 0, 302, 0, 0, 0, 0, 54, 83, 439
"/home/kun/projects/SharePix/backend-service/src/api/follow_handler.h", "C++", 0, 0, 19, 0, 0, 0, 0, 56, 17, 92
"/home/kun/projects/SharePix/backend-service/src/api/image_handler.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"/home/kun/projects/SharePix/backend-service/src/api/like_handler.cpp", "C++", 0, 0, 10, 0, 0, 0, 0, 7, 7, 24
"/home/kun/projects/SharePix/backend-service/src/api/like_handler.h", "C++", 0, 0, 1, 0, 0, 0, 0, 5, 1, 7
"/home/kun/projects/SharePix/backend-service/src/api/post_handler.cpp", "C++", 0, 0, 349, 0, 0, 0, 0, 46, 59, 454
"/home/kun/projects/SharePix/backend-service/src/core/auth_service.cpp", "C++", 0, 0, 471, 0, 0, 0, 0, 80, 112, 663
"/home/kun/projects/SharePix/backend-service/src/core/auth_service.h", "C++", 0, 0, 83, 0, 0, 0, 0, 154, 34, 271
"/home/kun/projects/SharePix/backend-service/src/core/favorite_service.cpp", "C++", 0, 0, 219, 0, 0, 0, 0, 38, 56, 313
"/home/kun/projects/SharePix/backend-service/src/core/favorite_service.h", "C++", 0, 0, 47, 0, 0, 0, 0, 82, 18, 147
"/home/kun/projects/SharePix/backend-service/src/core/follow_service.cpp", "C++", 0, 0, 360, 0, 0, 0, 0, 64, 91, 515
"/home/kun/projects/SharePix/backend-service/src/core/follow_service.h", "C++", 0, 0, 55, 0, 0, 0, 0, 98, 20, 173
"/home/kun/projects/SharePix/backend-service/src/core/image_service.cpp", "C++", 0, 0, 301, 0, 0, 0, 0, 59, 78, 438
"/home/kun/projects/SharePix/backend-service/src/core/image_service.h", "C++", 0, 0, 47, 0, 0, 0, 0, 119, 23, 189
"/home/kun/projects/SharePix/backend-service/src/core/like_service.cpp", "C++", 0, 0, 192, 0, 0, 0, 0, 33, 46, 271
"/home/kun/projects/SharePix/backend-service/src/core/like_service.h", "C++", 0, 0, 35, 0, 0, 0, 0, 71, 15, 121
"/home/kun/projects/SharePix/backend-service/src/core/post_service.cpp", "C++", 0, 0, 519, 0, 0, 0, 0, 137, 129, 785
"/home/kun/projects/SharePix/backend-service/src/core/post_service.h", "C++", 0, 0, 57, 0, 0, 0, 0, 174, 28, 259
"/home/kun/projects/SharePix/backend-service/src/database/favorite_repository.cpp", "C++", 0, 0, 158, 0, 0, 0, 0, 9, 45, 212
"/home/kun/projects/SharePix/backend-service/src/database/favorite_repository.h", "C++", 0, 0, 3, 0, 0, 0, 0, 14, 2, 19
"/home/kun/projects/SharePix/backend-service/src/database/follow_repository.cpp", "C++", 0, 0, 423, 0, 0, 0, 0, 61, 130, 614
"/home/kun/projects/SharePix/backend-service/src/database/follow_repository.h", "C++", 0, 0, 23, 0, 0, 0, 0, 78, 17, 118
"/home/kun/projects/SharePix/backend-service/src/database/image_repository.cpp", "C++", 0, 0, 174, 0, 0, 0, 0, 36, 44, 254
"/home/kun/projects/SharePix/backend-service/src/database/post_repository.cpp", "C++", 0, 0, 442, 0, 0, 0, 0, 52, 101, 595
"/home/kun/projects/SharePix/backend-service/src/database/post_repository.h", "C++", 0, 0, 1, 0, 0, 0, 0, 7, 1, 9
"/home/kun/projects/SharePix/backend-service/src/database/transaction_manager.cpp", "C++", 0, 0, 101, 0, 0, 0, 0, 10, 23, 134
"/home/kun/projects/SharePix/backend-service/src/database/transaction_manager.h", "C++", 0, 0, 24, 0, 0, 0, 0, 50, 13, 87
"/home/kun/projects/SharePix/backend-service/src/database/user_repository.cpp", "C++", 0, 0, 209, 0, 0, 0, 0, 19, 58, 286
"/home/kun/projects/SharePix/backend-service/src/database/user_repository.h", "C++", 0, 0, 6, 0, 0, 0, 0, 37, 5, 48
"/home/kun/projects/SharePix/backend-service/src/models/follow.cpp", "C++", 0, 0, 38, 0, 0, 0, 0, 10, 14, 62
"/home/kun/projects/SharePix/backend-service/src/models/follow.h", "C++", 0, 0, 25, 0, 0, 0, 0, 36, 14, 75
"/home/kun/projects/SharePix/backend-service/src/models/image.cpp", "C++", 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"/home/kun/projects/SharePix/backend-service/src/models/post.cpp", "C++", 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
"/home/kun/projects/SharePix/backend-service/src/models/user.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"/home/kun/projects/SharePix/backend-service/src/models/user.h", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"/home/kun/projects/SharePix/backend-service/src/models/user_stats.cpp", "C++", 0, 0, 25, 0, 0, 0, 0, 9, 8, 42
"/home/kun/projects/SharePix/backend-service/src/models/user_stats.h", "C++", 0, 0, 27, 0, 0, 0, 0, 32, 13, 72
"/home/kun/projects/SharePix/backend-service/src/server/http_server.cpp", "C++", 0, 0, 34, 0, 0, 0, 0, 16, 12, 62
"/home/kun/projects/SharePix/backend-service/src/server/http_server.h", "C++", 0, 0, 3, 0, 0, 0, 0, 3, 1, 7
"/home/kun/projects/SharePix/backend-service/src/utils/base64_decoder.cpp", "C++", 0, 0, 118, 0, 0, 0, 0, 22, 33, 173
"/home/kun/projects/SharePix/backend-service/src/utils/base64_decoder.h", "C++", 0, 0, 14, 0, 0, 0, 0, 24, 9, 47
"/home/kun/projects/SharePix/backend-service/src/utils/id_generator.cpp", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kun/projects/SharePix/backend-service/src/utils/logger.cpp", "C++", 0, 0, 1, 0, 0, 0, 0, 2, 2, 5
"/home/kun/projects/SharePix/backend-service/src/utils/url_helper.cpp", "C++", 0, 0, 32, 0, 0, 0, 0, 16, 14, 62
"/home/kun/projects/SharePix/backend-service/src/utils/url_helper.h", "C++", 0, 0, 7, 0, 0, 0, 0, 29, 6, 42
"/home/kun/projects/SharePix/backend-service/test/CMakeLists.txt", "CMake", 0, 0, 0, 38, 0, 0, 0, 0, 11, 49
"/home/kun/projects/SharePix/backend-service/test/DIAGNOSIS_RESULT.md", "Markdown", 154, 0, 0, 0, 0, 0, 0, 0, 65, 219
"/home/kun/projects/SharePix/backend-service/test/diagnose_follow_route.md", "Markdown", 233, 0, 0, 0, 0, 0, 0, 0, 85, 318
"/home/kun/projects/SharePix/backend-service/test/multipart_tags_fix_explanation.md", "Markdown", 297, 0, 0, 0, 0, 0, 0, 0, 83, 380
"/home/kun/projects/SharePix/backend-service/test/test_follow_post.sh", "Shell Script", 0, 62, 0, 0, 0, 0, 0, 8, 20, 90
"/home/kun/projects/SharePix/backend-service/test/test_follow_route_debug.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/kun/projects/SharePix/backend-service/test/test_path_conversion.cpp", "C++", 0, 0, 82, 0, 0, 0, 0, 17, 17, 116
"/home/kun/projects/SharePix/backend-service/test/test_update_profile_fix.cpp", "C++", 0, 0, 123, 0, 0, 0, 0, 20, 32, 175
"/home/kun/projects/SharePix/backend-service/test_follow_complete.sh", "Shell Script", 0, 115, 0, 0, 0, 0, 0, 8, 19, 142
"Total", "-", 5488, 315, 5247, 38, 177, 14, 524, 2020, 3345, 17168